Date,Units Sold,Inventory Level,Units Ordered,Demand,Price,Competitor Pricing,Discount,Promotion,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny,DayOfWeek,DayOfMonth,Month,WeekOfYear,IsWeekend,UnitsSold_Lag_1,UnitsSold_Lag_7,UnitsSold_Lag_14,UnitsSold_Lag_21,UnitsSold_Lag_28,UnitsSold_RollingMean_7,UnitsSold_RollingMean_14,UnitsSold_RollingMean_28,UnitsSold_RollingStd_7,UnitsSold_RollingStd_14,UnitsSold_RollingStd_28
2022-02-12,9918,30529,12472,12058,71.76,72.98,9.2,30.0,0,Winter,20.0,0.0,40.0,40.0,5,12,2,6,1,9615.0,10085.0,9655.0,9908.0,9566.0,9857.714285714286,9705.42857142857,9487.07142857143,471.9674121115219,757.2878442975853,668.3252107332096
2022-02-13,8646,31186,7406,10607,67.49,70.52,10.05,40.0,0,Winter,40.0,0.0,60.0,0.0,6,13,2,6,1,9918.0,9298.0,7992.0,8721.0,9218.0,9833.857142857143,9724.214285714286,9499.642857142857,462.69335726499446,759.2003058453079,673.1580197670687
2022-02-14,10173,35158,10441,12494,68.7,70.19,13.7,65.0,0,Winter,40.0,0.0,40.0,20.0,0,14,2,7,0,8646.0,9472.0,8592.0,8822.0,10074.0,9740.714285714286,9770.92857142857,9479.214285714286,625.518908396791,657.7604736219299,690.4782216718904
2022-02-15,9453,34876,7775,10727,67.58,67.66,10.65,45.0,0,Winter,20.0,0.0,80.0,0.0,1,15,2,7,0,10173.0,10074.0,9599.0,8434.0,9444.0,9840.857142857143,9883.857142857143,9482.75,631.4146626350113,569.593898133762,693.8818143042977
2022-02-16,9800,34169,10574,11804,71.59,73.31,9.55,35.0,0,Winter,40.0,0.0,20.0,40.0,2,16,2,7,0,9453.0,10699.0,10746.0,9271.0,8689.0,9752.142857142857,9873.42857142857,9483.07142857143,636.800970626211,576.5050822760502,693.8652835716983
2022-02-17,9428,33924,6626,10857,69.78,73.07,8.55,30.0,0,Winter,40.0,0.0,20.0,40.0,3,17,2,7,0,9800.0,9761.0,10531.0,9276.0,9489.0,9623.714285714286,9805.857142857143,9522.75,487.06389529018173,518.9296465051721,678.3677373202818
2022-02-18,10017,34061,9633,11757,72.82,74.93,7.45,20.0,0,Winter,0.0,0.0,0.0,100.0,4,18,2,7,0,9428.0,9615.0,9757.0,8945.0,9905.0,9576.142857142857,9727.07142857143,9520.57142857143,487.68207832953635,482.84309671358085,678.5780573332605
2022-02-19,10253,33834,10315,11873,71.45,73.93,8.2,30.0,0,Winter,40.0,0.0,0.0,60.0,5,19,2,7,1,10017.0,9918.0,10085.0,9655.0,9908.0,9633.57142857143,9745.642857142857,9524.57142857143,515.8749387021619,489.0431170455984,681.252899610354
2022-02-20,9483,31941,8338,11170,69.56,70.49,8.9,40.0,0,Winter,40.0,0.0,20.0,40.0,6,20,2,7,1,10253.0,8646.0,9298.0,7992.0,8721.0,9681.42857142857,9757.642857142857,9536.892857142857,560.2858964085146,499.9502447771697,691.4876255171803
2022-02-21,9242,32379,7000,10619,68.35,69.13,10.15,40.0,0,Winter,40.0,0.0,40.0,20.0,0,21,2,8,0,9483.0,10173.0,9472.0,8592.0,8822.0,9801.0,9770.857142857143,9564.107142857143,353.7188148798532,489.1960212969357,672.9337284681569
2022-02-22,8861,31870,13090,10973,70.07,72.42,8.15,20.0,0,Winter,20.0,0.0,20.0,60.0,1,22,2,8,0,9242.0,9453.0,10074.0,9599.0,8434.0,9668.0,9754.42857142857,9579.107142857143,365.3710442823936,503.6529199123822,660.3423544891524
2022-02-23,9999,29240,9656,11769,70.14,71.46,9.55,40.0,0,Winter,0.0,0.0,40.0,60.0,2,23,2,8,0,8861.0,9800.0,10699.0,10746.0,9271.0,9583.42857142857,9667.785714285714,9594.357142857143,475.3829533975302,546.9251360063904,637.4515356617025
2022-02-24,8940,30867,7520,10232,67.54,68.69,9.5,40.0,0,Winter,20.0,0.0,80.0,0.0,3,24,2,8,0,9999.0,9428.0,9761.0,10531.0,9276.0,9611.857142857143,9617.785714285714,9620.357142857143,495.99611173591774,472.3063182318887,638.6197045066255
2022-02-25,8900,29075,7243,10152,69.18,71.15,8.0,25.0,0,Winter,40.0,0.0,60.0,0.0,4,25,2,8,0,8940.0,10017.0,9615.0,9757.0,8945.0,9542.142857142857,9559.142857142857,9608.357142857143,556.7226803868766,503.1202421111495,648.4117470024707
2022-02-26,9367,30630,7522,10514,69.18,70.53,8.1,25.0,0,Winter,80.0,0.0,20.0,0.0,5,26,2,8,1,8900.0,10253.0,9918.0,10085.0,9655.0,9382.57142857143,9508.07142857143,9606.75,558.0110085959685,532.4488367310678,650.170212756289
2022-02-27,10040,31154,17100,12841,69.79,72.19,12.25,55.0,0,Winter,0.0,0.0,40.0,60.0,6,27,2,8,1,9367.0,9483.0,8646.0,9298.0,7992.0,9256.0,9468.714285714286,9596.464285714286,407.98529385261367,520.0367484901651,651.6550145103698
2022-02-28,8951,29612,7214,10648,69.09,70.63,8.75,30.0,0,Winter,40.0,0.0,60.0,0.0,0,28,2,9,0,10040.0,9242.0,10173.0,9472.0,8592.0,9335.57142857143,9568.285714285714,9669.607142857143,502.9111442865659,482.49375102712327,575.3674084981767
2022-03-01,10050,29750,8935,11914,70.56,73.04,8.75,35.0,0,Spring,0.0,20.0,0.0,80.0,1,1,3,9,0,8951.0,8861.0,9453.0,10074.0,9599.0,9294.0,9481.0,9682.42857142857,523.5392376253544,475.16005400610055,554.0705549784999
2022-03-02,8775,31254,9303,10250,68.28,69.74,7.5,20.0,0,Spring,80.0,20.0,0.0,0.0,2,2,3,9,0,10050.0,9999.0,9800.0,10699.0,10746.0,9463.857142857143,9523.642857142857,9698.535714285714,551.7618533907065,498.66137842194473,558.0962005314336
2022-03-03,10192,31423,10980,11758,70.22,71.84,9.15,35.0,0,Spring,0.0,40.0,0.0,60.0,3,3,3,9,0,8775.0,8940.0,9428.0,9761.0,10531.0,9289.0,9450.42857142857,9628.142857142857,547.8393925230313,529.2715915127326,545.2393096264312
2022-03-04,10323,31544,13493,12275,72.19,72.78,8.6,35.0,0,Spring,60.0,0.0,0.0,40.0,4,4,3,9,0,10192.0,8900.0,10017.0,9615.0,9757.0,9467.857142857143,9505.0,9616.035714285714,615.1486076744499,564.9643964275739,527.9379510498678
2022-03-05,10557,30709,11676,12275,70.48,73.82,9.85,35.0,0,Spring,20.0,20.0,0.0,60.0,5,5,3,9,1,10323.0,9367.0,10253.0,9918.0,10085.0,9671.142857142857,9526.857142857143,9636.25,631.1337493145293,591.5880657691154,544.1229861658821
2022-03-06,9349,31349,6166,11354,69.95,73.14,9.05,30.0,0,Spring,20.0,60.0,0.0,20.0,6,6,3,9,1,10557.0,10040.0,9483.0,8646.0,9298.0,9841.142857142857,9548.57142857143,9653.107142857143,692.8105629899726,624.9309764083781,565.4343685453492
2022-03-07,9916,31283,9512,11452,68.71,69.53,10.25,40.0,0,Spring,40.0,20.0,0.0,40.0,0,7,3,10,0,9349.0,8951.0,9242.0,10173.0,9472.0,9742.42857142857,9539.0,9654.92857142857,708.7980100477323,627.0351480763104,564.3291611430379
2022-03-08,10365,34556,9238,11498,69.35,72.06,9.1,30.0,0,Spring,80.0,0.0,0.0,20.0,1,8,3,10,0,9916.0,10050.0,8861.0,9453.0,10074.0,9880.285714285714,9587.142857142857,9670.785714285714,617.1309191967114,628.350815430959,565.2359295768971
2022-03-09,9960,33328,11691,11929,70.14,70.78,9.75,40.0,0,Spring,0.0,40.0,0.0,60.0,2,9,3,10,0,10365.0,8775.0,9999.0,9800.0,10699.0,9925.285714285714,9694.57142857143,9681.17857142857,642.5305996048577,623.200636205578,575.5062861948064
2022-03-10,9335,33094,8423,10574,66.77,69.79,9.85,35.0,0,Spring,0.0,100.0,0.0,0.0,3,10,3,10,0,9960.0,10192.0,8940.0,9428.0,9761.0,10094.57142857143,9691.785714285714,9654.785714285714,398.85622185731575,621.8207976544436,543.1348892646381
2022-03-11,9495,31759,7226,10640,67.74,69.54,8.9,35.0,0,Spring,20.0,80.0,0.0,0.0,4,11,3,10,0,9335.0,10323.0,8900.0,10017.0,9615.0,9972.142857142857,9720.0,9639.57142857143,485.97888451092484,593.3972595928564,546.0083725156103
2022-03-12,11518,31059,15402,12860,69.81,72.67,11.55,45.0,0,Spring,40.0,0.0,0.0,60.0,5,12,3,10,1,9495.0,10557.0,9367.0,10253.0,9918.0,9853.857142857143,9762.5,9635.285714285714,487.1134120412645,549.8602269948003,546.6789197233087
2022-03-13,9555,30770,9526,11547,70.48,71.82,8.9,30.0,0,Spring,0.0,20.0,0.0,80.0,6,13,3,10,1,11518.0,9349.0,10040.0,9483.0,8646.0,9991.142857142857,9916.142857142857,9692.42857142857,771.006577700313,708.4856935901969,650.9940790862034
2022-03-14,8768,31642,7833,10779,68.78,70.67,8.2,25.0,0,Spring,80.0,20.0,0.0,0.0,0,14,3,11,0,9555.0,9916.0,8951.0,9242.0,10173.0,10020.57142857143,9881.5,9724.892857142857,745.9353987093151,713.8011735662948,618.7437295925157
2022-03-15,10246,33006,9365,11765,70.12,71.55,10.4,45.0,0,Spring,0.0,40.0,0.0,60.0,1,15,3,11,0,8768.0,10365.0,10050.0,8861.0,9453.0,9856.57142857143,9868.42857142857,9674.714285714286,885.8372418495538,733.5539112153551,637.7369048348721
2022-03-16,9999,34216,9334,11852,68.31,69.91,11.25,45.0,0,Spring,40.0,40.0,0.0,20.0,2,16,3,11,0,10246.0,9960.0,8775.0,9999.0,9800.0,9839.57142857143,9882.42857142857,9703.035714285714,875.5358087371175,739.1349116246789,645.0919246664342
2022-03-17,9433,34446,10274,11421,68.71,69.4,9.7,40.0,0,Spring,60.0,20.0,0.0,20.0,3,17,3,11,0,9999.0,9335.0,10192.0,8940.0,9428.0,9845.142857142857,9969.857142857143,9710.142857142857,876.5533694669226,666.9300340588018,647.2922354665174
2022-03-18,9402,33486,7903,10765,68.74,68.73,8.7,35.0,0,Spring,0.0,80.0,0.0,20.0,4,18,3,11,0,9433.0,9495.0,10323.0,8900.0,10017.0,9859.142857142857,9915.642857142857,9710.32142857143,867.7863463186943,678.2365830868805,647.2122013666668
2022-03-19,8776,31810,9749,10226,67.11,68.42,8.95,30.0,0,Spring,40.0,60.0,0.0,0.0,5,19,3,11,1,9402.0,11518.0,10557.0,9367.0,10253.0,9845.857142857143,9849.857142857143,9688.357142857143,874.9726526338687,680.3485370515148,646.8545096184765
2022-03-20,10568,30250,12899,12298,71.68,72.83,9.4,40.0,0,Spring,0.0,40.0,0.0,60.0,6,20,3,11,1,8776.0,9555.0,9349.0,10040.0,9483.0,9454.142857142857,9722.642857142857,9635.607142857143,557.9598039797731,704.0494527148902,659.2089164313908
2022-03-21,9938,31175,10376,12065,72.28,72.98,7.25,20.0,0,Spring,0.0,0.0,0.0,100.0,0,21,3,12,0,10568.0,8768.0,9916.0,8951.0,9242.0,9598.857142857143,9809.714285714286,9674.357142857143,701.4063084431267,729.2141638114973,681.4213475596842
2022-03-22,8670,33427,4274,9826,66.47,69.51,8.6,30.0,0,Spring,20.0,80.0,0.0,0.0,1,22,3,12,0,9938.0,10246.0,10365.0,10050.0,8861.0,9766.0,9811.285714285714,9699.214285714286,602.904359468957,729.4844785158961,677.7501100259703
2022-03-23,9906,32975,11364,11547,69.51,70.62,8.5,30.0,0,Spring,0.0,40.0,0.0,60.0,2,23,3,12,0,8670.0,9999.0,9960.0,8775.0,9999.0,9540.857142857143,9690.214285714286,9692.392857142857,682.7582365111493,770.0467696656692,687.391652838131
2022-03-24,9808,33620,11486,11509,70.38,72.57,7.65,25.0,0,Spring,0.0,20.0,0.0,80.0,3,24,3,12,0,9906.0,9433.0,9335.0,10192.0,8940.0,9527.57142857143,9686.357142857143,9689.07142857143,673.1953300350183,768.7255794388016,686.0787088293863
2022-03-25,10629,32938,10559,12256,69.29,72.07,11.5,55.0,0,Spring,80.0,0.0,0.0,20.0,4,25,3,12,0,9808.0,9402.0,9495.0,10323.0,8900.0,9581.142857142857,9720.142857142857,9720.07142857143,679.3083317049885,762.4642092122588,670.4099314527491
2022-03-26,10576,29755,11351,12575,68.99,72.07,11.5,50.0,0,Spring,60.0,0.0,0.0,40.0,5,26,3,12,1,10629.0,8776.0,11518.0,10557.0,9367.0,9756.42857142857,9801.142857142857,9781.82142857143,776.7019714027756,796.1952656848104,671.7033104738962
2022-03-27,11169,32055,13753,12922,71.54,73.69,10.7,45.0,0,Spring,0.0,20.0,0.0,80.0,6,27,3,12,1,10576.0,10568.0,9555.0,9349.0,10040.0,10013.57142857143,9733.857142857143,9825.0,691.2784911893026,669.6998015348586,682.8167152806609
2022-03-28,9288,32345,5560,10248,66.07,67.34,10.25,40.0,0,Spring,0.0,100.0,0.0,0.0,0,28,3,13,0,11169.0,9938.0,8768.0,9916.0,8951.0,10099.42857142857,9849.142857142857,9865.32142857143,800.3353166314889,768.2170023094827,727.8337240703983
2022-03-29,9388,32155,7971,10863,73.09,73.05,4.45,0.0,0,Spring,40.0,20.0,0.0,40.0,1,29,3,13,0,9288.0,8670.0,10246.0,10365.0,10050.0,10006.57142857143,9886.285714285714,9877.357142857143,857.82862646391,723.1737134189995,714.824309638948
2022-03-30,8982,36078,5529,9902,68.3,70.7,5.45,0.0,0,Spring,80.0,20.0,0.0,0.0,2,30,3,13,0,9388.0,9906.0,9999.0,9960.0,8775.0,10109.142857142857,9825.0,9853.714285714286,699.7357664555597,726.6918720634502,719.8329465226467
2022-03-31,8816,34923,7852,10028,70.82,72.85,4.4,0.0,0,Spring,20.0,60.0,0.0,20.0,3,31,3,13,0,8982.0,9808.0,9433.0,9335.0,10192.0,9977.142857142857,9752.357142857143,9861.107142857143,821.076210139564,758.1124949142177,709.3303226380227
2022-04-01,10273,30509,17039,12130,70.58,71.46,9.75,45.0,0,Spring,40.0,20.0,0.0,40.0,4,1,4,13,0,8816.0,10629.0,9402.0,9495.0,10323.0,9835.42857142857,9708.285714285714,9811.964285714286,933.1005406962453,795.1358305415456,732.8325301156954
2022-04-02,9787,30194,7371,11258,68.37,70.21,9.9,35.0,0,Spring,0.0,60.0,0.0,40.0,5,2,4,13,1,10273.0,10576.0,8776.0,11518.0,10557.0,9784.57142857143,9770.5,9810.17857142857,891.4097182072293,803.3600351983232,731.6010374803556
2022-04-03,9379,30702,8805,11205,69.15,72.01,8.6,30.0,0,Spring,80.0,0.0,0.0,20.0,6,3,4,13,1,9787.0,11169.0,10568.0,9555.0,9349.0,9671.857142857143,9842.714285714286,9782.67857142857,821.8254941635412,750.8082238567945,716.8114093405956
2022-04-04,8970,30493,7682,10342,65.88,68.17,11.3,45.0,0,Spring,40.0,60.0,0.0,0.0,0,4,4,14,0,9379.0,9288.0,9938.0,8768.0,9916.0,9416.142857142857,9757.785714285714,9783.75,489.7248984792199,729.3980846794642,716.161301146092
2022-04-05,9703,32428,9969,11118,69.02,70.53,9.7,35.0,0,Spring,60.0,40.0,0.0,0.0,1,5,4,14,0,8970.0,9388.0,8670.0,10246.0,10365.0,9370.714285714286,9688.642857142857,9749.964285714286,517.5518377533896,756.3820368797043,731.8339966667664
2022-04-06,10275,30866,11637,12730,70.23,71.6,12.0,55.0,0,Spring,80.0,0.0,0.0,20.0,2,6,4,14,0,9703.0,8982.0,9906.0,9999.0,9960.0,9415.714285714286,9762.42857142857,9726.32142857143,532.7756608197402,697.4586521282652,721.8538917296872
2022-04-07,10231,29323,10286,11670,69.84,72.32,10.05,40.0,0,Spring,20.0,20.0,0.0,60.0,3,7,4,14,0,10275.0,8816.0,9808.0,9433.0,9335.0,9600.42857142857,9788.785714285714,9737.57142857143,579.4433700092056,710.1582898926843,728.0585766305448
2022-04-08,10259,30287,11072,12304,69.14,72.03,11.3,55.0,0,Spring,0.0,40.0,0.0,60.0,4,8,4,14,0,10231.0,10273.0,10629.0,9402.0,9495.0,9802.57142857143,9819.0,9769.57142857143,501.7947313204463,719.969336953909,729.3987086569871
2022-04-09,8893,28379,4985,10240,67.59,68.93,9.1,30.0,0,Spring,40.0,40.0,0.0,20.0,5,9,4,14,1,10259.0,9787.0,10576.0,8776.0,11518.0,9800.57142857143,9792.57142857143,9796.857142857143,499.63048250444604,694.2814452905467,733.0280028143927
2022-04-10,9237,29873,9796,10442,69.09,72.22,7.25,15.0,0,Spring,60.0,40.0,0.0,0.0,6,10,4,14,1,8893.0,9379.0,11169.0,10568.0,9555.0,9672.857142857143,9672.357142857143,9703.107142857143,606.5076060450374,693.9017451110325,669.8933767722965
2022-04-11,9946,29570,12033,11989,69.39,71.06,10.85,45.0,0,Spring,40.0,20.0,0.0,40.0,0,11,4,15,0,9237.0,8970.0,9288.0,9938.0,8768.0,9652.57142857143,9534.357142857143,9691.75,620.194554728024,550.6971256288053,675.1721659722855
2022-04-12,10528,29962,12522,12767,69.95,70.73,12.45,55.0,0,Spring,40.0,0.0,0.0,60.0,1,12,4,15,0,9946.0,9703.0,9388.0,8670.0,10246.0,9792.0,9581.357142857143,9733.82142857143,546.498246413783,556.1064656150882,651.7759245477772
2022-04-13,10028,30066,8441,11980,70.81,71.56,10.15,35.0,0,Spring,40.0,0.0,0.0,60.0,2,13,4,15,0,10528.0,10275.0,8982.0,9906.0,9999.0,9909.857142857143,9662.785714285714,9743.892857142857,609.4402974783363,606.7710477565724,662.0806899065203
2022-04-14,9226,30146,8803,10815,70.16,73.04,7.6,20.0,0,Spring,20.0,40.0,0.0,40.0,3,14,4,15,0,10028.0,10231.0,8816.0,9808.0,9433.0,9874.57142857143,9737.5,9744.92857142857,591.6668142186326,580.3172540814376,662.5170817404542
2022-04-15,9632,30814,11724,11805,71.16,71.29,9.05,30.0,0,Spring,0.0,20.0,0.0,80.0,4,15,4,15,0,9226.0,10259.0,10273.0,10629.0,9402.0,9731.0,9766.785714285714,9737.535714285714,612.3359644291196,539.1195355636614,667.2646474888084
2022-04-16,8750,32403,8405,10107,68.06,68.32,9.55,35.0,0,Spring,20.0,60.0,0.0,20.0,5,16,4,15,1,9632.0,8893.0,9787.0,10576.0,8776.0,9641.42857142857,9721.0,9745.75,566.3608558574875,519.6902923857673,664.3905937858506
2022-04-17,10089,31374,11736,11537,70.14,71.79,9.55,35.0,0,Spring,60.0,0.0,0.0,40.0,6,17,4,15,1,8750.0,9237.0,9379.0,11169.0,10568.0,9621.0,9646.92857142857,9744.82142857143,599.4672634931842,579.9659756977446,665.8127894798391
2022-04-18,10083,32290,10346,11676,69.94,72.9,8.3,30.0,0,Spring,80.0,0.0,0.0,20.0,0,18,4,16,0,10089.0,9946.0,8970.0,9288.0,9938.0,9742.714285714286,9697.642857142857,9727.714285714286,594.983673245391,585.7487788020868,649.8410550476175
2022-04-19,10136,32950,11432,12301,69.45,71.53,11.7,50.0,0,Spring,40.0,20.0,0.0,40.0,1,19,4,16,0,10083.0,10528.0,9703.0,9388.0,8670.0,9762.285714285714,9777.142857142857,9732.892857142857,604.9547405345666,554.0670408121116,652.152523587211
2022-04-20,10467,33396,10103,12362,72.02,74.23,9.45,30.0,0,Spring,20.0,20.0,0.0,60.0,2,20,4,16,0,10136.0,10028.0,10275.0,8982.0,9906.0,9706.285714285714,9808.07142857143,9785.25,536.5341599207934,561.6433941548737,621.8007674846091
2022-04-21,8888,33545,5054,10197,67.0,68.16,10.15,40.0,0,Spring,0.0,100.0,0.0,0.0,3,21,4,16,0,10467.0,9226.0,10231.0,8816.0,9808.0,9769.0,9821.785714285714,9805.285714285714,602.0614586568438,576.0805470620417,634.739366584481
2022-04-22,8656,35989,6755,10163,69.32,70.43,6.25,15.0,0,Spring,0.0,80.0,0.0,20.0,4,22,4,16,0,8888.0,9632.0,10259.0,10273.0,10629.0,9720.714285714286,9725.857142857143,9772.42857142857,663.3072978858127,613.3114226059265,657.9799855433794
2022-04-23,6010,35542,2532,6686,61.43,62.5,7.8,20.0,1,Spring,20.0,0.0,0.0,80.0,5,23,4,16,1,8656.0,8750.0,8893.0,9787.0,10576.0,9581.285714285714,9611.357142857143,9701.964285714286,777.7663990097407,654.3799892491169,668.4140700550987
2022-04-24,6398,35909,3789,7357,59.2,61.6,11.2,45.0,1,Spring,0.0,60.0,0.0,40.0,6,24,4,16,1,6010.0,10089.0,9237.0,9379.0,11169.0,9189.857142857143,9405.42857142857,9538.892857142857,1560.9855250846565,1157.8101155786587,946.4371137679785
2022-04-25,6842,33321,6325,7732,61.1,61.93,10.55,40.0,1,Spring,0.0,20.0,0.0,80.0,0,25,4,17,0,6398.0,10083.0,9946.0,8970.0,9288.0,8662.57142857143,9202.642857142857,9368.5,1810.14970441148,1410.6017595961757,1064.2347450598443
2022-04-26,5602,31349,3646,6201,59.8,61.95,6.95,20.0,1,Spring,20.0,80.0,0.0,0.0,1,26,4,17,0,6842.0,10136.0,10528.0,9703.0,9388.0,8199.57142857143,8980.92857142857,9281.142857142857,1800.7466837530583,1524.1446258998337,1166.557573130692
2022-04-27,5782,29728,4359,6825,60.61,60.8,9.1,30.0,1,Spring,20.0,40.0,0.0,40.0,2,27,4,17,0,5602.0,10467.0,10028.0,10275.0,8982.0,7551.857142857143,8629.07142857143,9145.92857142857,1803.5620706970872,1698.1822618628128,1357.5015156821598
2022-04-28,5854,27478,5067,6834,59.74,60.21,9.8,40.0,1,Spring,60.0,20.0,0.0,20.0,3,28,4,17,0,5782.0,8888.0,9226.0,10231.0,8816.0,6882.571428571428,8325.785714285714,9031.642857142857,1354.9753819587693,1804.924084428333,1499.1270105133815
2022-04-29,5578,28214,5227,6294,61.88,62.8,4.9,0.0,1,Spring,0.0,40.0,0.0,60.0,4,29,4,17,0,5854.0,8656.0,9632.0,10259.0,10273.0,6449.142857142857,8084.928571428572,8925.857142857143,1059.6338091642037,1898.135338624796,1614.9404693600047
2022-04-30,5310,26101,2433,6009,61.24,62.2,4.25,0.0,1,Spring,0.0,40.0,0.0,60.0,5,30,4,17,1,5578.0,6010.0,8750.0,8893.0,9787.0,6009.428571428572,7795.357142857143,8758.17857142857,460.4660165321503,1952.4199818979243,1710.7826464012032
2022-05-01,6289,25100,8966,6875,58.63,60.15,11.1,50.0,1,Spring,40.0,20.0,0.0,40.0,6,1,5,17,1,5310.0,6398.0,10089.0,9237.0,9379.0,5909.428571428572,7549.642857142857,8598.285714285714,530.9384324454711,2037.6394565636633,1816.9837410785779
2022-05-02,5816,24314,7188,6819,61.21,63.41,7.55,25.0,1,Spring,0.0,60.0,0.0,40.0,0,2,5,18,0,6289.0,6842.0,10083.0,9946.0,8970.0,5893.857142857143,7278.214285714285,8487.92857142857,515.5981731838383,1923.2409816833617,1861.111673536988
2022-05-03,5941,23345,3938,6818,61.26,63.65,7.55,20.0,1,Spring,20.0,20.0,0.0,60.0,1,3,5,18,0,5816.0,5602.0,10136.0,10528.0,9703.0,5747.285714285715,6973.428571428572,8375.285714285714,303.2472667015173,1777.1163640652737,1925.1976686802968
2022-05-04,5765,21767,4920,6766,59.35,59.85,10.4,35.0,1,Spring,60.0,20.0,0.0,20.0,2,4,5,18,0,5941.0,5782.0,10467.0,10028.0,10275.0,5795.714285714285,6673.785714285715,8240.92857142857,303.24726670151654,1540.801548573962,1960.0632440395657
