Date,Units Sold,Demand,Competitor Pricing,Epidemic,Seasonality,Weather_Cloudy,Weather_Rainy,Weather_Snowy,Weather_Sunny
2022-03-19,8776,10226,68.42,0,Spring,40.0,60.0,0.0,0.0
2022-03-20,10568,12298,72.83,0,Spring,0.0,40.0,0.0,60.0
2022-03-21,9938,12065,72.98,0,Spring,0.0,0.0,0.0,100.0
2022-03-22,8670,9826,69.51,0,Spring,20.0,80.0,0.0,0.0
2022-03-23,9906,11547,70.62,0,Spring,0.0,40.0,0.0,60.0
2022-03-24,9808,11509,72.57,0,Spring,0.0,20.0,0.0,80.0
2022-03-25,10629,12256,72.07,0,Spring,80.0,0.0,0.0,20.0
2022-03-26,10576,12575,72.07,0,Spring,60.0,0.0,0.0,40.0
2022-03-27,11169,12922,73.69,0,Spring,0.0,20.0,0.0,80.0
2022-03-28,9288,10248,67.34,0,Spring,0.0,100.0,0.0,0.0
2022-03-29,9388,10863,73.05,0,Spring,40.0,20.0,0.0,40.0
2022-03-30,8982,9902,70.7,0,Spring,80.0,20.0,0.0,0.0
2022-03-31,8816,10028,72.85,0,Spring,20.0,60.0,0.0,20.0
2022-04-01,10273,12130,71.46,0,Spring,40.0,20.0,0.0,40.0
2022-04-02,9787,11258,70.21,0,Spring,0.0,60.0,0.0,40.0
2022-04-03,9379,11205,72.01,0,Spring,80.0,0.0,0.0,20.0
2022-04-04,8970,10342,68.17,0,Spring,40.0,60.0,0.0,0.0
2022-04-05,9703,11118,70.53,0,Spring,60.0,40.0,0.0,0.0
2022-04-06,10275,12730,71.6,0,Spring,80.0,0.0,0.0,20.0
2022-04-07,10231,11670,72.32,0,Spring,20.0,20.0,0.0,60.0
2022-04-08,10259,12304,72.03,0,Spring,0.0,40.0,0.0,60.0
2022-04-09,8893,10240,68.93,0,Spring,40.0,40.0,0.0,20.0
2022-04-10,9237,10442,72.22,0,Spring,60.0,40.0,0.0,0.0
2022-04-11,9946,11989,71.06,0,Spring,40.0,20.0,0.0,40.0
2022-04-12,10528,12767,70.73,0,Spring,40.0,0.0,0.0,60.0
2022-04-13,10028,11980,71.56,0,Spring,40.0,0.0,0.0,60.0
2022-04-14,9226,10815,73.04,0,Spring,20.0,40.0,0.0,40.0
2022-04-15,9632,11805,71.29,0,Spring,0.0,20.0,0.0,80.0
2022-04-16,8750,10107,68.32,0,Spring,20.0,60.0,0.0,20.0
2022-04-17,10089,11537,71.79,0,Spring,60.0,0.0,0.0,40.0
2022-04-18,10083,11676,72.9,0,Spring,80.0,0.0,0.0,20.0
2022-04-19,10136,12301,71.53,0,Spring,40.0,20.0,0.0,40.0
2022-04-20,10467,12362,74.23,0,Spring,20.0,20.0,0.0,60.0
2022-04-21,8888,10197,68.16,0,Spring,0.0,100.0,0.0,0.0
2022-04-22,8656,10163,70.43,0,Spring,0.0,80.0,0.0,20.0
2022-04-23,6010,6686,62.5,1,Spring,20.0,0.0,0.0,80.0
2022-04-24,6398,7357,61.6,1,Spring,0.0,60.0,0.0,40.0
2022-04-25,6842,7732,61.93,1,Spring,0.0,20.0,0.0,80.0
2022-04-26,5602,6201,61.95,1,Spring,20.0,80.0,0.0,0.0
2022-04-27,5782,6825,60.8,1,Spring,20.0,40.0,0.0,40.0
2022-04-28,5854,6834,60.21,1,Spring,60.0,20.0,0.0,20.0
2022-04-29,5578,6294,62.8,1,Spring,0.0,40.0,0.0,60.0
2022-04-30,5310,6009,62.2,1,Spring,0.0,40.0,0.0,60.0
2022-05-01,6289,6875,60.15,1,Spring,40.0,20.0,0.0,40.0
2022-05-02,5816,6819,63.41,1,Spring,0.0,60.0,0.0,40.0
2022-05-03,5941,6818,63.65,1,Spring,20.0,20.0,0.0,60.0
2022-05-04,5765,6766,59.85,1,Spring,60.0,20.0,0.0,20.0
2022-05-05,6417,7077,62.59,1,Spring,40.0,40.0,0.0,20.0
2022-05-06,6393,7419,61.03,1,Spring,0.0,40.0,0.0,60.0
2022-05-07,6278,6856,61.98,1,Spring,20.0,40.0,0.0,40.0
2022-05-08,5980,7269,62.9,1,Spring,40.0,40.0,0.0,20.0
2022-05-09,5833,6669,61.15,1,Spring,80.0,0.0,0.0,20.0
2022-05-10,6205,7088,60.25,1,Spring,0.0,40.0,0.0,60.0
2022-05-11,5906,6982,63.05,1,Spring,80.0,0.0,0.0,20.0
2022-05-12,5649,6443,59.68,1,Spring,40.0,60.0,0.0,0.0
2022-05-13,5765,6694,61.95,1,Spring,0.0,40.0,0.0,60.0
2022-05-14,6192,7077,61.05,1,Spring,40.0,60.0,0.0,0.0
2022-05-15,5998,7169,61.72,1,Spring,60.0,0.0,0.0,40.0
2022-05-16,6130,6924,61.43,1,Spring,20.0,40.0,0.0,40.0
2022-05-17,6411,7295,61.47,1,Spring,20.0,20.0,0.0,60.0
2022-05-18,5242,6297,59.95,1,Spring,80.0,20.0,0.0,0.0
2022-05-19,6075,7137,60.88,1,Spring,60.0,40.0,0.0,0.0
2022-05-20,6745,7658,61.0,1,Spring,60.0,20.0,0.0,20.0
2022-05-21,6038,6776,63.58,1,Spring,40.0,40.0,0.0,20.0
2022-05-22,5981,7083,62.28,1,Spring,40.0,0.0,0.0,60.0
2022-05-23,5471,6715,62.18,1,Spring,40.0,60.0,0.0,0.0
2022-05-24,6095,6729,62.24,1,Spring,40.0,60.0,0.0,0.0
2022-05-25,6510,7250,61.18,1,Spring,60.0,0.0,0.0,40.0
2022-05-26,8697,10744,68.27,0,Spring,0.0,60.0,0.0,40.0
2022-05-27,9571,12001,70.25,0,Spring,80.0,0.0,0.0,20.0
2022-05-28,9424,11180,69.03,0,Spring,40.0,20.0,0.0,40.0
2022-05-29,8845,10770,74.67,0,Spring,60.0,0.0,0.0,40.0
2022-05-30,9196,10253,71.23,0,Spring,60.0,20.0,0.0,20.0
2022-05-31,9091,10279,73.83,0,Spring,80.0,20.0,0.0,0.0
2022-06-01,9544,11408,70.94,0,Summer,40.0,60.0,0.0,0.0
2022-06-02,10039,11872,72.17,0,Summer,40.0,20.0,0.0,40.0
2022-06-03,9818,12073,73.65,0,Summer,20.0,20.0,0.0,60.0
2022-06-04,9170,11415,71.24,0,Summer,40.0,40.0,0.0,20.0
2022-06-05,9145,11067,72.56,0,Summer,60.0,40.0,0.0,0.0
2022-06-06,9561,10831,68.25,0,Summer,20.0,80.0,0.0,0.0
2022-06-07,8889,9906,69.42,0,Summer,0.0,100.0,0.0,0.0
2022-06-08,10667,12552,72.85,0,Summer,20.0,40.0,0.0,40.0
2022-06-09,9669,11729,69.8,0,Summer,80.0,20.0,0.0,0.0
2022-06-10,9891,11905,71.83,0,Summer,40.0,40.0,0.0,20.0
2022-06-11,11391,13048,73.94,0,Summer,0.0,20.0,0.0,80.0
2022-06-12,10883,12724,74.73,0,Summer,40.0,20.0,0.0,40.0
2022-06-13,9602,11706,70.67,0,Summer,20.0,60.0,0.0,20.0
2022-06-14,10181,12055,72.7,0,Summer,0.0,40.0,0.0,60.0
2022-06-15,10798,12542,71.14,0,Summer,20.0,60.0,0.0,20.0
2022-06-16,9928,11116,68.86,0,Summer,20.0,80.0,0.0,0.0
2022-06-17,10361,12536,73.48,0,Summer,20.0,40.0,0.0,40.0
2022-06-18,9321,10856,70.08,0,Summer,60.0,40.0,0.0,0.0
2022-06-19,10430,12114,73.09,0,Summer,60.0,40.0,0.0,0.0
2022-06-20,10095,12511,69.75,0,Summer,100.0,0.0,0.0,0.0
2022-06-21,10644,12745,74.5,0,Summer,60.0,0.0,0.0,40.0
2022-06-22,10749,12555,73.41,0,Summer,40.0,20.0,0.0,40.0
2022-06-23,9380,10832,68.53,0,Summer,20.0,60.0,0.0,20.0
2022-06-24,10006,11949,72.03,0,Summer,0.0,40.0,0.0,60.0
2022-06-25,10248,12097,70.79,0,Summer,60.0,40.0,0.0,0.0
2022-06-26,11178,13349,74.74,0,Summer,20.0,20.0,0.0,60.0
2022-06-27,9709,11636,74.41,0,Summer,20.0,40.0,0.0,40.0
2022-06-28,10510,11950,72.43,0,Summer,60.0,0.0,0.0,40.0
2022-06-29,5461,6338,63.58,1,Summer,40.0,40.0,0.0,20.0
2022-06-30,5548,6308,63.0,1,Summer,0.0,80.0,0.0,20.0
2022-07-01,5774,6760,62.21,1,Summer,40.0,40.0,0.0,20.0
2022-07-02,5552,6408,62.13,1,Summer,20.0,80.0,0.0,0.0
2022-07-03,6701,7698,64.11,1,Summer,20.0,20.0,0.0,60.0
2022-07-04,6950,7834,63.96,1,Summer,20.0,20.0,0.0,60.0
2022-07-05,5841,7014,62.52,1,Summer,20.0,60.0,0.0,20.0
2022-07-06,6479,7516,63.36,1,Summer,0.0,80.0,0.0,20.0
2022-07-07,6788,7819,64.46,1,Summer,40.0,20.0,0.0,40.0
2022-07-08,6774,7804,62.49,1,Summer,40.0,0.0,0.0,60.0
2022-07-09,6095,7485,62.05,1,Summer,40.0,60.0,0.0,0.0
2022-07-10,6661,7656,63.7,1,Summer,80.0,0.0,0.0,20.0
2022-07-11,6257,7186,61.66,1,Summer,60.0,20.0,0.0,20.0
2022-07-12,6271,7348,64.06,1,Summer,40.0,20.0,0.0,40.0
2022-07-13,6716,7672,65.22,1,Summer,0.0,20.0,0.0,80.0
2022-07-14,6465,7304,61.68,1,Summer,60.0,20.0,0.0,20.0
2022-07-15,6380,7261,59.8,1,Summer,20.0,60.0,0.0,20.0
2022-07-16,6267,7406,63.58,1,Summer,40.0,20.0,0.0,40.0
2022-07-17,6510,7834,62.57,1,Summer,60.0,20.0,0.0,20.0
2022-07-18,6005,6716,64.76,1,Summer,40.0,40.0,0.0,20.0
2022-07-19,6180,7024,60.69,1,Summer,40.0,60.0,0.0,0.0
2022-07-20,6208,6911,62.01,1,Summer,0.0,80.0,0.0,20.0
2022-07-21,5975,6806,59.89,1,Summer,40.0,60.0,0.0,0.0
2022-07-22,6660,7803,64.19,1,Summer,40.0,20.0,0.0,40.0
2022-07-23,7466,8630,64.85,1,Summer,20.0,0.0,0.0,80.0
2022-07-24,5703,7046,59.47,1,Summer,20.0,80.0,0.0,0.0
2022-07-25,9478,11443,69.69,0,Summer,20.0,60.0,0.0,20.0
2022-07-26,10501,13772,72.48,0,Summer,0.0,20.0,0.0,80.0
2022-07-27,9476,12475,73.16,0,Summer,40.0,60.0,0.0,0.0
2022-07-28,9709,12347,74.4,0,Summer,0.0,20.0,0.0,80.0
2022-07-29,8366,9962,72.88,0,Summer,20.0,80.0,0.0,0.0
2022-07-30,9827,11425,75.47,0,Summer,20.0,40.0,0.0,40.0
2022-07-31,10122,11371,75.61,0,Summer,20.0,20.0,0.0,60.0
2022-08-01,9543,11018,72.06,0,Summer,0.0,60.0,0.0,40.0
2022-08-02,9997,11890,69.8,0,Summer,40.0,40.0,0.0,20.0
2022-08-03,10465,12460,72.43,0,Summer,40.0,20.0,0.0,40.0
2022-08-04,10541,12061,71.89,0,Summer,20.0,40.0,0.0,40.0
2022-08-05,10100,11758,71.38,0,Summer,80.0,20.0,0.0,0.0
2022-08-06,10198,12528,74.92,0,Summer,20.0,20.0,0.0,60.0
2022-08-07,10271,12199,71.48,0,Summer,60.0,40.0,0.0,0.0
2022-08-08,9864,11325,69.82,0,Summer,20.0,80.0,0.0,0.0
2022-08-09,11119,12839,74.41,0,Summer,0.0,40.0,0.0,60.0
2022-08-10,9437,11145,69.89,0,Summer,20.0,60.0,0.0,20.0
2022-08-11,9843,11421,72.34,0,Summer,80.0,20.0,0.0,0.0
2022-08-12,9735,11440,71.36,0,Summer,60.0,20.0,0.0,20.0
2022-08-13,9875,11353,70.18,0,Summer,60.0,40.0,0.0,0.0
2022-08-14,10129,12114,72.3,0,Summer,20.0,20.0,0.0,60.0
2022-08-15,10490,11844,72.17,0,Summer,60.0,40.0,0.0,0.0
2022-08-16,10647,12029,70.91,0,Summer,40.0,40.0,0.0,20.0
2022-08-17,10456,12606,73.79,0,Summer,80.0,0.0,0.0,20.0
2022-08-18,10261,12655,74.51,0,Summer,0.0,20.0,0.0,80.0
2022-08-19,9393,10975,71.06,0,Summer,40.0,60.0,0.0,0.0
2022-08-20,10093,12221,74.26,0,Summer,40.0,40.0,0.0,20.0
2022-08-21,10332,12185,71.13,0,Summer,40.0,20.0,0.0,40.0
2022-08-22,10836,12012,75.39,0,Summer,0.0,60.0,0.0,40.0
2022-08-23,10428,12313,75.02,0,Summer,60.0,0.0,0.0,40.0
2022-08-24,9829,11611,71.3,0,Summer,40.0,40.0,0.0,20.0
2022-08-25,11555,13494,75.01,0,Summer,20.0,20.0,0.0,60.0
2022-08-26,10261,11971,72.03,0,Summer,40.0,60.0,0.0,0.0
2022-08-27,10971,13033,75.75,0,Summer,40.0,20.0,0.0,40.0
2022-08-28,11295,13021,73.6,0,Summer,40.0,20.0,0.0,40.0
2022-08-29,9378,10782,72.69,0,Summer,40.0,60.0,0.0,0.0
2022-08-30,9732,11228,74.77,0,Summer,80.0,0.0,0.0,20.0
2022-08-31,9631,10906,74.1,0,Summer,40.0,40.0,0.0,20.0
2022-09-01,9577,11246,67.35,0,Autumn,20.0,40.0,20.0,20.0
2022-09-02,9962,11928,72.89,0,Autumn,0.0,0.0,20.0,80.0
2022-09-03,10090,11810,73.34,0,Autumn,0.0,20.0,20.0,60.0
2022-09-04,9907,12040,70.71,0,Autumn,60.0,0.0,20.0,20.0
2022-09-05,9434,10762,68.32,0,Autumn,20.0,0.0,60.0,20.0
2022-09-06,9725,11273,70.98,0,Autumn,0.0,0.0,40.0,60.0
2022-09-07,8756,10577,70.53,0,Autumn,20.0,20.0,20.0,40.0
2022-09-08,9002,10650,69.54,0,Autumn,40.0,0.0,40.0,20.0
2022-09-09,9624,10980,68.01,0,Autumn,60.0,0.0,20.0,20.0
2022-09-10,8596,9945,70.82,0,Autumn,0.0,20.0,40.0,40.0
2022-09-11,9813,11279,72.32,0,Autumn,80.0,0.0,0.0,20.0
2022-09-12,8536,9804,69.62,0,Autumn,20.0,20.0,60.0,0.0
2022-09-13,9033,10275,68.83,0,Autumn,0.0,60.0,20.0,20.0
2022-09-14,8821,10313,68.37,0,Autumn,20.0,60.0,20.0,0.0
2022-09-15,10164,12000,73.11,0,Autumn,40.0,0.0,0.0,60.0
2022-09-16,9394,10783,69.86,0,Autumn,0.0,0.0,60.0,40.0
2022-09-17,9744,11014,71.23,0,Autumn,80.0,20.0,0.0,0.0
2022-09-18,9200,10849,69.27,0,Autumn,20.0,60.0,0.0,20.0
2022-09-19,9113,10898,70.2,0,Autumn,0.0,20.0,20.0,60.0
2022-09-20,8461,9832,70.73,0,Autumn,0.0,40.0,0.0,60.0
2022-09-21,8738,9975,68.81,0,Autumn,0.0,80.0,0.0,20.0
2022-09-22,8432,10230,68.97,0,Autumn,0.0,40.0,60.0,0.0
2022-09-23,9947,11271,72.8,0,Autumn,20.0,20.0,0.0,60.0
2022-09-24,9352,11592,72.88,0,Autumn,0.0,0.0,0.0,100.0
2022-09-25,8490,9804,67.22,0,Autumn,20.0,20.0,60.0,0.0
2022-09-26,10579,12493,72.6,0,Autumn,0.0,40.0,0.0,60.0
2022-09-27,9177,10739,70.87,0,Autumn,40.0,0.0,20.0,40.0
2022-09-28,8564,10042,66.17,0,Autumn,20.0,80.0,0.0,0.0
2022-09-29,8676,10272,73.64,0,Autumn,40.0,40.0,0.0,20.0
2022-09-30,8244,9588,70.17,0,Autumn,40.0,60.0,0.0,0.0
2022-10-01,8277,9611,68.81,0,Autumn,0.0,60.0,40.0,0.0
2022-10-02,9981,11151,72.37,0,Autumn,0.0,40.0,0.0,60.0
2022-10-03,8834,10409,69.89,0,Autumn,0.0,0.0,80.0,20.0
2022-10-04,8915,10527,70.32,0,Autumn,20.0,40.0,20.0,20.0
2022-10-05,8938,10731,69.34,0,Autumn,0.0,60.0,20.0,20.0
2022-10-06,9008,10895,71.24,0,Autumn,20.0,0.0,60.0,20.0
2022-10-07,9754,11126,68.89,0,Autumn,0.0,20.0,40.0,40.0
2022-10-08,9651,11192,70.33,0,Autumn,0.0,40.0,20.0,40.0
2022-10-09,9270,10557,68.34,0,Autumn,60.0,0.0,20.0,20.0
2022-10-10,9250,10899,70.62,0,Autumn,20.0,40.0,20.0,20.0
2022-10-11,9900,11312,71.54,0,Autumn,0.0,40.0,20.0,40.0
2022-10-12,9870,11240,73.14,0,Autumn,0.0,40.0,0.0,60.0
2022-10-13,9117,11374,70.83,0,Autumn,80.0,20.0,0.0,0.0
2022-10-14,8888,10431,69.82,0,Autumn,0.0,60.0,40.0,0.0
2022-10-15,10134,12403,72.63,0,Autumn,0.0,20.0,0.0,80.0
2022-10-16,9306,10816,70.32,0,Autumn,40.0,0.0,40.0,20.0
2022-10-17,8123,10329,68.54,0,Autumn,40.0,20.0,40.0,0.0
2022-10-18,8802,10505,67.97,0,Autumn,0.0,20.0,60.0,20.0
2022-10-19,8806,10126,68.48,0,Autumn,0.0,60.0,20.0,20.0
2022-10-20,8004,9347,68.99,0,Autumn,20.0,40.0,40.0,0.0
2022-10-21,8799,10199,68.89,0,Autumn,40.0,40.0,20.0,0.0
2022-10-22,9426,10937,70.01,0,Autumn,60.0,40.0,0.0,0.0
2022-10-23,9894,11246,72.04,0,Autumn,20.0,40.0,0.0,40.0
2022-10-24,9490,11353,72.67,0,Autumn,40.0,0.0,0.0,60.0
2022-10-25,7939,9322,70.72,0,Autumn,20.0,60.0,0.0,20.0
2022-10-26,7565,9381,67.73,0,Autumn,0.0,40.0,60.0,0.0
2022-10-27,9343,10819,70.46,0,Autumn,60.0,40.0,0.0,0.0
2022-10-28,9848,11954,70.03,0,Autumn,0.0,60.0,0.0,40.0
2022-10-29,8344,10192,70.14,0,Autumn,0.0,20.0,20.0,60.0
2022-10-30,8403,9779,69.81,0,Autumn,40.0,0.0,60.0,0.0
2022-10-31,8348,9702,70.96,0,Autumn,20.0,0.0,60.0,20.0
2022-11-01,9586,11112,69.16,0,Autumn,40.0,20.0,20.0,20.0
2022-11-02,9480,11091,69.19,0,Autumn,0.0,20.0,40.0,40.0
2022-11-03,8031,9503,69.63,0,Autumn,0.0,20.0,80.0,0.0
2022-11-04,9596,11012,73.24,0,Autumn,40.0,20.0,0.0,40.0
2022-11-05,10027,11890,72.44,0,Autumn,40.0,0.0,20.0,40.0
2022-11-06,8971,10953,69.51,0,Autumn,20.0,40.0,20.0,20.0
2022-11-07,9522,11070,70.56,0,Autumn,20.0,0.0,60.0,20.0
2022-11-08,9237,10671,71.46,0,Autumn,40.0,20.0,20.0,20.0
2022-11-09,9332,11012,71.94,0,Autumn,0.0,40.0,20.0,40.0
2022-11-10,9415,11157,69.87,0,Autumn,0.0,40.0,0.0,60.0
2022-11-11,8509,9777,69.67,0,Autumn,20.0,40.0,40.0,0.0
2022-11-12,10448,12531,69.82,0,Autumn,40.0,20.0,0.0,40.0
2022-11-13,9331,10892,70.04,0,Autumn,20.0,40.0,20.0,20.0
2022-11-14,8599,10350,70.25,0,Autumn,0.0,60.0,20.0,20.0
2022-11-15,9674,11763,69.62,0,Autumn,80.0,0.0,0.0,20.0
2022-11-16,9608,10893,69.8,0,Autumn,0.0,0.0,20.0,80.0
2022-11-17,9530,11433,71.03,0,Autumn,0.0,40.0,40.0,20.0
2022-11-18,9604,11423,70.79,0,Autumn,40.0,20.0,20.0,20.0
2022-11-19,9902,11431,70.97,0,Autumn,0.0,40.0,20.0,40.0
2022-11-20,8424,9775,70.53,0,Autumn,0.0,20.0,60.0,20.0
2022-11-21,9371,11082,71.6,0,Autumn,80.0,0.0,20.0,0.0
2022-11-22,8529,10016,70.09,0,Autumn,60.0,40.0,0.0,0.0
2022-11-23,8800,10501,66.99,0,Autumn,0.0,60.0,20.0,20.0
2022-11-24,10218,12044,70.39,0,Autumn,20.0,0.0,20.0,60.0
2022-11-25,8713,10053,68.5,0,Autumn,20.0,40.0,20.0,20.0
2022-11-26,9889,11467,71.91,0,Autumn,20.0,20.0,0.0,60.0
2022-11-27,8451,10073,71.25,0,Autumn,20.0,40.0,20.0,20.0
2022-11-28,8615,9830,66.63,0,Autumn,0.0,0.0,80.0,20.0
2022-11-29,8317,9578,70.73,0,Autumn,20.0,40.0,20.0,20.0
2022-11-30,9059,10023,71.83,0,Autumn,0.0,20.0,20.0,60.0
2022-12-01,7672,9264,67.22,0,Winter,40.0,0.0,60.0,0.0
2022-12-02,9287,11230,72.78,0,Winter,40.0,0.0,0.0,60.0
2022-12-03,9579,10845,71.76,0,Winter,0.0,0.0,60.0,40.0
2022-12-04,9369,10872,71.09,0,Winter,60.0,0.0,20.0,20.0
2022-12-05,10441,12348,72.8,0,Winter,20.0,0.0,20.0,60.0
2022-12-06,9887,11577,72.91,0,Winter,20.0,0.0,0.0,80.0
2022-12-07,9685,11111,69.2,0,Winter,40.0,0.0,40.0,20.0
2022-12-08,9592,11312,72.94,0,Winter,40.0,0.0,0.0,60.0
2022-12-09,10562,12200,73.83,0,Winter,20.0,0.0,20.0,60.0
2022-12-10,8752,10423,68.57,0,Winter,20.0,0.0,40.0,40.0
2022-12-11,8926,10512,68.09,0,Winter,40.0,0.0,60.0,0.0
2022-12-12,9530,10990,71.22,0,Winter,40.0,0.0,60.0,0.0
2022-12-13,9537,11148,69.72,0,Winter,40.0,0.0,60.0,0.0
2022-12-14,10146,11922,70.71,0,Winter,0.0,0.0,20.0,80.0
2022-12-15,9422,11413,74.46,0,Winter,40.0,0.0,40.0,20.0
2022-12-16,9297,10829,69.82,0,Winter,40.0,0.0,60.0,0.0
2022-12-17,9901,11908,72.2,0,Winter,40.0,0.0,20.0,40.0
2022-12-18,10614,12576,73.6,0,Winter,20.0,0.0,20.0,60.0
2022-12-19,9813,11494,71.47,0,Winter,40.0,0.0,40.0,20.0
